01.01.2007   N1106
Образец: "Pb"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   3089     0,0    1545    66,8
   3094     0,0    1548     0,0
   3099     0,0    1550    66,8
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114    66,8    1558    33,4
   3119     0,0    1560     0,0
   3124     0,0    1563    66,8
   3129     0,0    1565    33,4
   3134     0,0    1568     0,0
   3139     0,0    1570    66,8
   3144    33,4    1573     0,0
   3149     0,0    1575     0,0
